,election_date,election_type,harmonised_code,harmonised_name,pc1
0,1996_04_21,camera,ITC11,torino,0.0530277801754249
1,1996_04_21,camera,ITC12,vercelli,0.12003625533639908
2,1996_04_21,camera,ITC13,biella,0.15659881584803279
3,1996_04_21,camera,ITC14,verbanocusioossola,0.12607882330474454
4,1996_04_21,camera,ITC15,novara,0.11618315882705736
5,1996_04_21,camera,ITC16,cuneo,0.2810822422623143
6,1996_04_21,camera,ITC17,asti,0.17146818319744425
7,1996_04_21,camera,ITC18,alessandria,0.08350510157747366
8,1996_04_21,camera,ITC31,imperia,0.08199353401678751
9,1996_04_21,camera,ITC32,savona,0.034657315660162544
10,1996_04_21,camera,ITC33,genova,-0.011479879642103081
11,1996_04_21,camera,ITC34,la spezia,-0.06722759006467177
12,1996_04_21,camera,ITC41,varese,0.27444526830354943
13,1996_04_21,camera,ITC42,como,0.2718096155027806
14,1996_04_21,camera,ITC43,lecco,0.27885835977220735
15,1996_04_21,camera,ITC44,sondrio,0.3661108324832087
16,1996_04_21,camera,ITC46,bergamo,0.35040472635865294
17,1996_04_21,camera,ITC47,brescia,0.3051285128853188
18,1996_04_21,camera,ITC48,pavia,0.1277063772249524
19,1996_04_21,camera,ITC49,lodi,0.1270550604372187
20,1996_04_21,camera,ITC4A,cremona,0.1539727709885441
21,1996_04_21,camera,ITC4B,mantova,0.11270712258578362
22,1996_04_21,camera,ITC4C,milano,0.07863344087756455
23,1996_04_21,camera,ITC4D,monza e della brianza,0.17864477465809184
24,1996_04_21,camera,ITF11,laquila,-0.08326187538812346
25,1996_04_21,camera,ITF12,teramo,-0.11662137962888802
26,1996_04_21,camera,ITF13,pescara,-0.08980890202655367
27,1996_04_21,camera,ITF14,chieti,-0.08187974676219383
28,1996_04_21,camera,ITF21,isernia,-0.06985615633957143
29,1996_04_21,camera,ITF22,campobasso,-0.07840675487538631
30,1996_04_21,camera,ITF31,caserta,-0.06411951330413584
31,1996_04_21,camera,ITF32,benevento,-0.06912772446452999
32,1996_04_21,camera,ITF33,napoli,-0.09005904006606721
33,1996_04_21,camera,ITF34,avellino,-0.07537202047795172
34,1996_04_21,camera,ITF35,salerno,-0.06403563959524843
35,1996_04_21,camera,ITF43,taranto,-0.07758105943459853
