year,region,religiosity,trust,last_vote,rlgdgr,pray,rlgatnd,prtvtpl,prtvtapl,prtvtbpl,prtvtcpl,prtvtdpl,prtvtepl,prtvtfpl
2002,PL82,15.0,5.0,Samoobrona Rzeczypospolitej Polskiej,5.0,1.0,3.0,Samoobrona Rzeczypospolitej Polskiej,,,,,,
2002,PL52,10.0,5.0,Sojusz Lewicy Demokratycznej/Unia Pracy,5.0,4.0,5.0,Sojusz Lewicy Demokratycznej/Unia Pracy,,,,,,
2002,PL43,6.0,5.0,Sojusz Lewicy Demokratycznej/Unia Pracy,4.0,7.0,5.0,Sojusz Lewicy Demokratycznej/Unia Pracy,,,,,,
2002,PL61,15.0,7.0,Refusal*,7.0,2.0,4.0,Refusal*,,,,,,
2002,PL72,16.0,5.0,Don't know*,6.0,1.0,3.0,Don't know*,,,,,,
2002,PL71,16.0,5.0,Samoobrona Rzeczypospolitej Polskiej,10.0,5.0,3.0,Samoobrona Rzeczypospolitej Polskiej,,,,,,
2002,PL63,20.0,7.0,Not applicable*,10.0,1.0,3.0,Not applicable*,,,,,,
2002,PL9X,4.0,8.0,Not applicable*,2.0,7.0,5.0,Not applicable*,,,,,,
2002,PL63,10.0,7.0,Not applicable*,3.0,3.0,4.0,Not applicable*,,,,,,
2002,PL41,17.0,3.0,Sojusz Lewicy Demokratycznej/Unia Pracy,8.0,2.0,3.0,Sojusz Lewicy Demokratycznej/Unia Pracy,,,,,,
2002,PL42,16.0,9.0,Not applicable*,8.0,3.0,3.0,Not applicable*,,,,,,
2002,PL82,15.0,1.0,Not applicable*,7.0,2.0,4.0,Not applicable*,,,,,,
2002,PL41,18.0,5.0,Platforma Obywatelska,10.0,3.0,3.0,Platforma Obywatelska,,,,,,
2002,PL72,20.0,5.0,Sojusz Lewicy Demokratycznej/Unia Pracy,10.0,1.0,3.0,Sojusz Lewicy Demokratycznej/Unia Pracy,,,,,,
2002,PL42,19.0,10.0,Sojusz Lewicy Demokratycznej/Unia Pracy,9.0,1.0,3.0,Sojusz Lewicy Demokratycznej/Unia Pracy,,,,,,
2002,PL9X,10.0,5.0,Sojusz Lewicy Demokratycznej/Unia Pracy,5.0,5.0,4.0,Sojusz Lewicy Demokratycznej/Unia Pracy,,,,,,
2002,PL71,11.0,0.0,Sojusz Lewicy Demokratycznej/Unia Pracy,7.0,5.0,5.0,Sojusz Lewicy Demokratycznej/Unia Pracy,,,,,,
2002,PL84,18.0,3.0,Sojusz Lewicy Demokratycznej/Unia Pracy,7.0,1.0,2.0,Sojusz Lewicy Demokratycznej/Unia Pracy,,,,,,
2002,PL84,13.0,5.0,Samoobrona Rzeczypospolitej Polskiej,5.0,1.0,5.0,Samoobrona Rzeczypospolitej Polskiej,,,,,,
2002,PL21,12.0,2.0,Not applicable*,6.0,5.0,3.0,Not applicable*,,,,,,
2002,PL21,21.0,5.0,Prawo i Sprawiedliwość,10.0,1.0,2.0,Prawo i Sprawiedliwość,,,,,,
2002,PL22,2.0,5.0,Sojusz Lewicy Demokratycznej/Unia Pracy,1.0,7.0,6.0,Sojusz Lewicy Demokratycznej/Unia Pracy,,,,,,
2002,PL81,18.0,8.0,Polskie Stronnictwo Ludowe,10.0,1.0,5.0,Polskie Stronnictwo Ludowe,,,,,,
2002,PL81,6.0,9.0,Polskie Stronnictwo Ludowe,2.0,5.0,5.0,Polskie Stronnictwo Ludowe,,,,,,
2002,PL51,8.0,1.0,Not applicable*,4.0,6.0,4.0,Not applicable*,,,,,,
2002,PL41,13.0,3.0,Not applicable*,5.0,2.0,4.0,Not applicable*,,,,,,
2002,PL21,18.0,1.0,Sojusz Lewicy Demokratycznej/Unia Pracy,8.0,1.0,3.0,Sojusz Lewicy Demokratycznej/Unia Pracy,,,,,,
2002,PL9X,12.0,5.0,Prawo i Sprawiedliwość,6.0,4.0,4.0,Prawo i Sprawiedliwość,,,,,,
2002,PL9X,16.0,3.0,Polskie Stronnictwo Ludowe,6.0,1.0,3.0,Polskie Stronnictwo Ludowe,,,,,,
2002,PL21,20.0,7.0,Don't know*,10.0,1.0,3.0,Don't know*,,,,,,
2002,PL9X,20.0,8.0,Not applicable*,10.0,1.0,3.0,Not applicable*,,,,,,
2002,PL41,14.0,3.0,Sojusz Lewicy Demokratycznej/Unia Pracy,5.0,2.0,3.0,Sojusz Lewicy Demokratycznej/Unia Pracy,,,,,,
2002,PL21,12.0,8.0,Polskie Stronnictwo Ludowe,7.0,6.0,3.0,Polskie Stronnictwo Ludowe,,,,,,
2002,PL51,18.0,0.0,Polskie Stronnictwo Ludowe,9.0,2.0,3.0,Polskie Stronnictwo Ludowe,,,,,,
2002,PL9X,10.0,2.0,Not applicable*,3.0,2.0,5.0,Not applicable*,,,,,,
2002,PL9X,2.0,8.0,Not applicable*,1.0,7.0,6.0,Not applicable*,,,,,,
2002,PL71,18.0,3.0,Don't know*,8.0,1.0,3.0,Don't know*,,,,,,
2002,PL62,19.0,9.0,Platforma Obywatelska,9.0,1.0,3.0,Platforma Obywatelska,,,,,,
2002,PL51,15.0,8.0,Not applicable*,7.0,2.0,4.0,Not applicable*,,,,,,
2002,PL71,17.0,9.0,Sojusz Lewicy Demokratycznej/Unia Pracy,8.0,2.0,3.0,Sojusz Lewicy Demokratycznej/Unia Pracy,,,,,,
2002,PL61,13.0,4.0,Sojusz Lewicy Demokratycznej/Unia Pracy,6.0,3.0,4.0,Sojusz Lewicy Demokratycznej/Unia Pracy,,,,,,
2002,PL51,13.0,8.0,Akcja Wyborcza Solidarność Prawicy,8.0,6.0,3.0,Akcja Wyborcza Solidarność Prawicy,,,,,,
2002,PL42,13.0,3.0,Akcja Wyborcza Solidarność Prawicy,7.0,5.0,3.0,Akcja Wyborcza Solidarność Prawicy,,,,,,
2002,PL82,20.0,6.0,Samoobrona Rzeczypospolitej Polskiej,10.0,1.0,3.0,Samoobrona Rzeczypospolitej Polskiej,,,,,,
2002,PL21,16.0,4.0,Not applicable*,7.0,2.0,3.0,Not applicable*,,,,,,
