,election_date,election_type,harmonised_code,harmonised_name,pc1
0,2000_10_08,president_a,T_0201,bolesławiecki,0.070233837954015
1,2000_10_08,president_a,T_0202,dzierżoniowski,0.09955670664153432
2,2000_10_08,president_a,T_0203,głogowski,0.11622072405635275
3,2000_10_08,president_a,T_0204,górowski,0.11472547165658864
4,2000_10_08,president_a,T_0205,jaworski,0.06594176951550068
5,2000_10_08,president_a,T_0206,karkonoski,0.10124629965016851
6,2000_10_08,president_a,T_0207,kamiennogórski,0.12351323498131972
7,2000_10_08,president_a,T_0208,kłodzki,0.07733849719879027
8,2000_10_08,president_a,T_0209,legnicki,0.08231204746635384
9,2000_10_08,president_a,T_0210,lubański,0.12075182731634548
10,2000_10_08,president_a,T_0211,lubiński,0.09734304188884063
11,2000_10_08,president_a,T_0212,lwówecki,0.09416147945405201
12,2000_10_08,president_a,T_0213,milicki,0.10067704359611718
13,2000_10_08,president_a,T_0214,oleśnicki,0.0968744469595415
14,2000_10_08,president_a,T_0215,oławski,-0.019556924256552644
15,2000_10_08,president_a,T_0216,polkowicki,0.13103584186955364
16,2000_10_08,president_a,T_0217,strzeliński,0.02623879275305263
17,2000_10_08,president_a,T_0218,średzki,0.08060253713093357
18,2000_10_08,president_a,T_0219,świdnicki,0.06878137638644966
19,2000_10_08,president_a,T_0220,trzebnicki,0.03574557825049546
20,2000_10_08,president_a,T_0221,wałbrzyski,0.15597992536429106
21,2000_10_08,president_a,T_0222,wołowski,0.06523687005102058
22,2000_10_08,president_a,T_0223,wrocławski,-0.024678726779584603
23,2000_10_08,president_a,T_0224,ząbkowicki,0.08512461780906766
24,2000_10_08,president_a,T_0225,zgorzelecki,0.11919970022619664
25,2000_10_08,president_a,T_0226,złotoryjski,0.09632691408922844
26,2000_10_08,president_a,T_0261,Jelenia Góra,0.08053394966452115
27,2000_10_08,president_a,T_0262,Legnica,0.07478942408321626
28,2000_10_08,president_a,T_0264,Wrocław,-0.07960169918428367
29,2000_10_08,president_a,T_0265,Wałbrzych,0.17608140973336883
30,2000_10_08,president_a,T_0401,aleksandrowski,0.07513008816904748
31,2000_10_08,president_a,T_0402,brodnicki,0.0650542102755513
32,2000_10_08,president_a,T_0403,bydgoski,0.13035102404629217
33,2000_10_08,president_a,T_0404,chełmiński,0.11583607733800522
34,2000_10_08,president_a,T_0405,golubsko-dobrzyński,0.05850134206968166
35,2000_10_08,president_a,T_0406,grudziądzki,0.10592498085864377
36,2000_10_08,president_a,T_0407,inowrocławski,0.17621958490555534
37,2000_10_08,president_a,T_0408,lipnowski,0.05624311915623048
