,election_date,election_type,harmonised_code,harmonised_name,type,name,votes
0,1999_06_13,european,M_01,Ain,0,eligible_voters,323135
1,1999_06_13,european,M_01,Ain,1,issued_ballots,137438
13,1999_06_13,european,M_01,Ain,2,GAU,26899
5,1999_06_13,european,M_01,Ain,2,DVD,19642
3,1999_06_13,european,M_01,Ain,2,DTE,15435
17,1999_06_13,european,M_01,Ain,2,VEC,12810
19,1999_06_13,european,M_01,Ain,2,UDF,12383
4,1999_06_13,european,M_01,Ain,2,CPNT,9996
8,1999_06_13,european,M_01,Ain,2,FRN,7581
12,1999_06_13,european,M_01,Ain,2,COM,6331
10,1999_06_13,european,M_01,Ain,2,EXG,5855
7,1999_06_13,european,M_01,Ain,2,MNA,5349
6,1999_06_13,european,M_01,Ain,2,DIV,2254
2,1999_06_13,european,M_01,Ain,2,ECO,1959
11,1999_06_13,european,M_01,Ain,2,DIV,1283
9,1999_06_13,european,M_01,Ain,2,DIV,980
15,1999_06_13,european,M_01,Ain,2,DIV,486
21,1999_06_13,european,M_01,Ain,2,REG,46
16,1999_06_13,european,M_01,Ain,2,DIV,26
14,1999_06_13,european,M_01,Ain,2,DIV,0
18,1999_06_13,european,M_01,Ain,2,DIV,0
20,1999_06_13,european,M_01,Ain,2,DIV,0
22,1999_06_13,european,M_02,Aisne,0,eligible_voters,367488
23,1999_06_13,european,M_02,Aisne,1,issued_ballots,178713
36,1999_06_13,european,M_02,Aisne,2,GAU,36395
29,1999_06_13,european,M_02,Aisne,2,DVD,19713
31,1999_06_13,european,M_02,Aisne,2,DTE,19262
30,1999_06_13,european,M_02,Aisne,2,CPNT,15118
25,1999_06_13,european,M_02,Aisne,2,FRN,14184
35,1999_06_13,european,M_02,Aisne,2,COM,13264
43,1999_06_13,european,M_02,Aisne,2,EXG,11397
34,1999_06_13,european,M_02,Aisne,2,UDF,11187
40,1999_06_13,european,M_02,Aisne,2,VEC,11103
27,1999_06_13,european,M_02,Aisne,2,MNA,5393
32,1999_06_13,european,M_02,Aisne,2,DIV,3250
28,1999_06_13,european,M_02,Aisne,2,ECO,2659
24,1999_06_13,european,M_02,Aisne,2,DIV,1937
26,1999_06_13,european,M_02,Aisne,2,DIV,1139
38,1999_06_13,european,M_02,Aisne,2,DIV,953
33,1999_06_13,european,M_02,Aisne,2,REG,30
41,1999_06_13,european,M_02,Aisne,2,DIV,17
39,1999_06_13,european,M_02,Aisne,2,DIV,3
37,1999_06_13,european,M_02,Aisne,2,DIV,0
42,1999_06_13,european,M_02,Aisne,2,DIV,0
44,1999_06_13,european,M_03,Allier,0,eligible_voters,258481
45,1999_06_13,european,M_03,Allier,1,issued_ballots,122608
55,1999_06_13,european,M_03,Allier,2,GAU,25085
63,1999_06_13,european,M_03,Allier,2,COM,17325
49,1999_06_13,european,M_03,Allier,2,DVD,14635
62,1999_06_13,european,M_03,Allier,2,DTE,14202
60,1999_06_13,european,M_03,Allier,2,UDF,10505
54,1999_06_13,european,M_03,Allier,2,VEC,8198
50,1999_06_13,european,M_03,Allier,2,EXG,5372
47,1999_06_13,european,M_03,Allier,2,FRN,4920
51,1999_06_13,european,M_03,Allier,2,CPNT,4192
52,1999_06_13,european,M_03,Allier,2,MNA,2519
65,1999_06_13,european,M_03,Allier,2,DIV,2232
64,1999_06_13,european,M_03,Allier,2,ECO,1433
46,1999_06_13,european,M_03,Allier,2,DIV,1125
57,1999_06_13,european,M_03,Allier,2,DIV,601
48,1999_06_13,european,M_03,Allier,2,DIV,124
53,1999_06_13,european,M_03,Allier,2,REG,24
58,1999_06_13,european,M_03,Allier,2,DIV,6
56,1999_06_13,european,M_03,Allier,2,DIV,0
59,1999_06_13,european,M_03,Allier,2,DIV,0
61,1999_06_13,european,M_03,Allier,2,DIV,0
66,1999_06_13,european,M_04,Alpes De Haute Provence,0,eligible_voters,104846
67,1999_06_13,european,M_04,Alpes De Haute Provence,1,issued_ballots,54348
84,1999_06_13,european,M_04,Alpes De Haute Provence,2,GAU,10190
73,1999_06_13,european,M_04,Alpes De Haute Provence,2,DVD,7453
72,1999_06_13,european,M_04,Alpes De Haute Provence,2,CPNT,5427
71,1999_06_13,european,M_04,Alpes De Haute Provence,2,DTE,5268
83,1999_06_13,european,M_04,Alpes De Haute Provence,2,VEC,4965
85,1999_06_13,european,M_04,Alpes De Haute Provence,2,COM,4266
82,1999_06_13,european,M_04,Alpes De Haute Provence,2,UDF,3295
78,1999_06_13,european,M_04,Alpes De Haute Provence,2,EXG,2605
76,1999_06_13,european,M_04,Alpes De Haute Provence,2,FRN,2531
74,1999_06_13,european,M_04,Alpes De Haute Provence,2,MNA,1959
77,1999_06_13,european,M_04,Alpes De Haute Provence,2,DIV,858
70,1999_06_13,european,M_04,Alpes De Haute Provence,2,ECO,857
80,1999_06_13,european,M_04,Alpes De Haute Provence,2,DIV,448
