year,province_code,nuts3_code,harmonised_name,marriages_civil,marriages_religious
2004,IT_001,ITC11,Torino,3536,4757
2004,IT_002,ITC12,Vercelli,243,326
2004,IT_003,ITC15,Novara,582,861
2004,IT_004,ITC16,Cuneo,746,1550
2004,IT_005,ITC17,Asti,380,505
2004,IT_006,ITC18,Alessandria,700,875
2004,IT_007,ITC20,Valle dAosta,218,260
2004,IT_008,ITC31,Imperia,372,397
2004,IT_009,ITC32,Savona,514,596
2004,IT_010,ITC33,Genova,1753,1788
2004,IT_011,ITC34,La Spezia,408,457
2004,IT_012,ITC41,Varese,1194,2006
2004,IT_013,ITC42,Como,757,1495
2004,IT_014,ITC44,Sondrio,198,551
2004,IT_015,ITC4C,Milano,4833,5392
2004,IT_016,ITC46,Bergamo,1360,2669
2004,IT_017,ITC47,Brescia,1615,2939
2004,IT_018,ITC48,Pavia,788,1096
2004,IT_019,ITC4A,Cremona,452,800
2004,IT_020,ITC4B,Mantova,537,829
2004,IT_021,ITH10,Bolzano,1080,775
2004,IT_022,ITH20,Trento,730,1093
2004,IT_023,ITH31,Verona,1455,2274
2004,IT_024,ITH32,Vicenza,1013,2079
2004,IT_025,ITH33,Belluno,249,428
2004,IT_026,ITH34,Treviso,1107,2185
2004,IT_027,ITH35,Venezia,1901,1986
2004,IT_028,ITH36,Padova,1181,2323
2004,IT_029,ITH37,Rovigo,314,533
2004,IT_030,ITH42,Udine,875,912
2004,IT_031,ITH43,Gorizia,300,210
2004,IT_032,ITH44,Trieste,515,377
2004,IT_033,ITH51,Piacenza,406,679
2004,IT_034,ITH52,Parma,642,839
2004,IT_035,ITH53,Reggio nellEmilia,649,898
2004,IT_036,ITH54,Modena,951,1277
2004,IT_037,ITH55,Bologna,1559,1546
2004,IT_038,ITH56,Ferrara,527,595
2004,IT_039,ITH57,Ravenna,628,642
2004,IT_040,ITH58,ForliCesena,472,701
2004,IT_041,ITI31,Pesaro e Urbino,479,881
2004,IT_042,ITI32,Ancona,554,1188
2004,IT_043,ITI33,Macerata,341,894
2004,IT_044,ITI34,Ascoli Piceno,173,619
2004,IT_045,ITI11,MassaCarrara,309,468
2004,IT_046,ITI12,Lucca,613,933
2004,IT_047,ITI13,Pistoia,485,694
2004,IT_048,ITI14,Firenze,1973,2072
2004,IT_049,ITI16,Livorno,660,630
2004,IT_050,ITI17,Pisa,617,1007
2004,IT_051,ITI18,Arezzo,474,841
2004,IT_052,ITI19,Siena,637,648
2004,IT_053,ITI1A,Grosseto,407,474
2004,IT_054,ITI21,Perugia,904,1967
2004,IT_055,ITI22,Terni,265,636
2004,IT_056,ITI41,Viterbo,485,991
2004,IT_057,ITI42,Rieti,177,526
2004,IT_058,ITI43,Roma,6620,10427
2004,IT_059,ITI44,Latina,608,1575
2004,IT_060,ITI45,Frosinone,361,1725
2004,IT_061,ITF31,Caserta,690,3937
2004,IT_062,ITF32,Benevento,184,1128
2004,IT_063,ITF33,Napoli,4418,14502
2004,IT_064,ITF34,Avellino,270,1697
2004,IT_065,ITF35,Salerno,1024,4528
2004,IT_066,ITF11,LAquila,267,795
2004,IT_067,ITF12,Teramo,306,987
2004,IT_068,ITF13,Pescara,322,892
2004,IT_069,ITF14,Chieti,315,1243
2004,IT_070,ITF22,Campobasso,196,814
2004,IT_071,ITF46,Foggia,448,2795
2004,IT_072,ITF47,Bari,919,4422
2004,IT_073,ITF43,Taranto,471,2459
2004,IT_074,ITF44,Brindisi,354,1489
2004,IT_075,ITF45,Lecce,597,3140
2004,IT_076,ITF51,Potenza,199,1399
2004,IT_077,ITF52,Matera,111,881
2004,IT_078,ITF61,Cosenza,491,2974
2004,IT_079,ITF63,Catanzaro,278,1221
2004,IT_080,ITF65,Reggio di Calabria,365,2235
2004,IT_081,ITG11,Trapani,226,1920
2004,IT_082,ITG12,Palermo,1290,5174
2004,IT_083,ITG13,Messina,1254,1896
2004,IT_084,ITG14,Agrigento,311,1925
2004,IT_085,ITG15,Caltanissetta,239,1266
2004,IT_086,ITG16,Enna,168,707
2004,IT_087,ITG17,Catania,1414,4003
2004,IT_088,ITG18,Ragusa,259,1262
2004,IT_089,ITG19,Siracusa,498,1399
2004,IT_090,ITG2D,Sassari,662,1421
