year,harmonised_code,harmonised_name,marriages_civil,marriages_religious
2000,T_1201,Powiat bocheński,78.0,496.0
2000,T_1206,Powiat krakowski,256.0,1117.0
2000,T_1208,Powiat miechowski,56.0,242.0
2000,T_1209,Powiat myślenicki,93.0,599.0
2000,T_1214,Powiat proszowicki,52.0,202.0
2000,T_1219,Powiat wielicki,118.0,456.0
2000,T_1261,Powiat m. Kraków,1356.0,2520.0
2000,T_1205,Powiat gorlicki,106.0,523.0
2000,T_1207,Powiat limanowski,78.0,659.0
2000,T_1210,Powiat nowosądecki,136.0,1190.0
2000,T_1262,Powiat m. Nowy Sącz,89.0,396.0
2000,T_1203,Powiat chrzanowski,183.0,544.0
2000,T_1212,Powiat olkuski,182.0,534.0
2000,T_1213,Powiat oświęcimski,225.0,649.0
2000,T_1218,Powiat wadowicki,152.0,681.0
2000,T_1202,Powiat brzeski,66.0,393.0
2000,T_1204,Powiat dąbrowski,40.0,249.0
2000,T_1216,Powiat tarnowski,121.0,894.0
2000,T_1263,Powiat m. Tarnów,187.0,473.0
2000,T_1211,Powiat nowotarski,195.0,816.0
2000,T_1215,Powiat suski,48.0,417.0
2000,T_1217,Powiat tatrzański,97.0,289.0
2000,T_2402,Powiat bielski,178.0,630.0
2000,T_2403,Powiat cieszyński,253.0,707.0
2000,T_2417,Powiat żywiecki,199.0,615.0
2000,T_2461,Powiat m. Bielsko-Biała,388.0,627.0
2000,T_2407,Powiat lubliniecki,106.0,295.0
2000,T_2413,Powiat tarnogórski,199.0,508.0
2000,T_2462,Powiat m. Bytom,368.0,525.0
2000,T_2471,Powiat m. Piekary Śląskie,99.0,205.0
2000,T_2404,Powiat częstochowski,194.0,543.0
2000,T_2406,Powiat kłobucki,120.0,369.0
2000,T_2409,Powiat myszkowski,109.0,273.0
2000,T_2464,Powiat m. Częstochowa,465.0,867.0
2000,T_2405,Powiat gliwicki,167.0,432.0
2000,T_2466,Powiat m. Gliwice,384.0,589.0
2000,T_2478,Powiat m. Zabrze,383.0,510.0
2000,T_2463,Powiat m. Chorzów,231.0,358.0
2000,T_2469,Powiat m. Katowice,672.0,941.0
2000,T_2470,Powiat m. Mysłowice,115.0,271.0
2000,T_2472,Powiat m. Ruda Śląska,282.0,517.0
2000,T_2474,Powiat m. Siemianowice Śląskie,128.0,216.0
2000,T_2476,Powiat m. Świętochłowice,84.0,192.0
2000,T_2411,Powiat raciborski,165.0,406.0
2000,T_2412,Powiat rybnicki,80.0,328.0
2000,T_2415,Powiat wodzisławski,223.0,617.0
2000,T_2467,Powiat m. Jastrzębie-Zdrój,251.0,455.0
2000,T_2473,Powiat m. Rybnik,269.0,587.0
2000,T_2479,Powiat m. Żory,149.0,319.0
2000,T_2401,Powiat będziński,285.0,503.0
2000,T_2416,Powiat zawierciański,204.0,486.0
2000,T_2465,Powiat m. Dąbrowa Górnicza,293.0,462.0
2000,T_2468,Powiat m. Jaworzno,156.0,348.0
2000,T_2475,Powiat m. Sosnowiec,539.0,758.0
2000,T_2408,Powiat mikołowski,101.0,339.0
2000,T_2410,Powiat pszczyński,125.0,435.0
2000,T_2414,Powiat bieruńsko-lędziński,55.0,218.0
2000,T_2477,Powiat m. Tychy,256.0,556.0
2000,T_0801,Powiat gorzowski,138.0,198.0
2000,T_0803,Powiat międzyrzecki,91.0,187.0
2000,T_0805,Powiat słubicki,75.0,161.0
2000,T_0806,Powiat strzelecko-drezdenecki,86.0,214.0
2000,T_0807,Powiat sulęciński,51.0,100.0
2000,T_0861,Powiat m. Gorzów Wielkopolski,280.0,393.0
2000,T_0802,Powiat krośnieński,86.0,208.0
2000,T_0804,Powiat nowosolski,245.0,507.0
2000,T_0808,Powiat świebodziński,91.0,219.0
2000,T_0809,Powiat zielonogórski,147.0,288.0
2000,T_0810,Powiat żagański,176.0,235.0
2000,T_0811,Powiat żarski,168.0,330.0
2000,T_0862,Powiat m. Zielona Góra,269.0,384.0
2000,T_3006,Powiat jarociński,96.0,332.0
2000,T_3007,Powiat kaliski,59.0,403.0
2000,T_3008,Powiat kępiński,41.0,279.0
2000,T_3012,Powiat krotoszyński,73.0,375.0
2000,T_3017,Powiat ostrowski,189.0,760.0
2000,T_3018,Powiat ostrzeszowski,54.0,290.0
2000,T_3020,Powiat pleszewski,67.0,315.0
2000,T_3061,Powiat m. Kalisz,234.0,401.0
2000,T_3003,Powiat gnieźnieński,183.0,705.0
2000,T_3009,Powiat kolski,126.0,421.0
2000,T_3010,Powiat koniński,113.0,600.0
