,harmonised_code,teryt,teryt_woj,teryt_pow,nuts3_code,nuts_0,nuts_1,nuts_2,nuts_3,pow_name,pow_prefix,woj_name,woj_prefix,nuts_1_name,nuts_1_prefix,nuts_2_name,nuts_2_prefix,nuts3_name,nuts_3_prefix
0,T_0201,T_0201,2,1,PL515,PL,5,1,5,bolesławiecki,powiat,dolnośląskie,województwo,południowo-zachodni,makroregion,dolnośląskie,region,jeleniogórski,podregion
1,T_0205,T_0205,2,5,PL515,PL,5,1,5,jaworski,powiat,dolnośląskie,województwo,południowo-zachodni,makroregion,dolnośląskie,region,jeleniogórski,podregion
2,T_0206,T_0206,2,6,PL515,PL,5,1,5,karkonoski,powiat,dolnośląskie,województwo,południowo-zachodni,makroregion,dolnośląskie,region,jeleniogórski,podregion
3,T_0207,T_0207,2,7,PL515,PL,5,1,5,kamiennogórski,powiat,dolnośląskie,województwo,południowo-zachodni,makroregion,dolnośląskie,region,jeleniogórski,podregion
4,T_0210,T_0210,2,10,PL515,PL,5,1,5,lubański,powiat,dolnośląskie,województwo,południowo-zachodni,makroregion,dolnośląskie,region,jeleniogórski,podregion
5,T_0212,T_0212,2,12,PL515,PL,5,1,5,lwówecki,powiat,dolnośląskie,województwo,południowo-zachodni,makroregion,dolnośląskie,region,jeleniogórski,podregion
6,T_0225,T_0225,2,25,PL515,PL,5,1,5,zgorzelecki,powiat,dolnośląskie,województwo,południowo-zachodni,makroregion,dolnośląskie,region,jeleniogórski,podregion
7,T_0226,T_0226,2,26,PL515,PL,5,1,5,złotoryjski,powiat,dolnośląskie,województwo,południowo-zachodni,makroregion,dolnośląskie,region,jeleniogórski,podregion
8,T_0261,T_0261,2,61,PL515,PL,5,1,5,Jelenia Góra,powiat m.,dolnośląskie,województwo,południowo-zachodni,makroregion,dolnośląskie,region,jeleniogórski,podregion
9,T_0202,T_0202,2,2,PL517,PL,5,1,7,dzierżoniowski,powiat,dolnośląskie,województwo,południowo-zachodni,makroregion,dolnośląskie,region,wałbrzyski,podregion
10,T_0208,T_0208,2,8,PL517,PL,5,1,7,kłodzki,powiat,dolnośląskie,województwo,południowo-zachodni,makroregion,dolnośląskie,region,wałbrzyski,podregion
11,T_0219,T_0219,2,19,PL517,PL,5,1,7,świdnicki,powiat,dolnośląskie,województwo,południowo-zachodni,makroregion,dolnośląskie,region,wałbrzyski,podregion
12,T_0221,T_0221,2,21,PL517,PL,5,1,7,wałbrzyski,powiat,dolnośląskie,województwo,południowo-zachodni,makroregion,dolnośląskie,region,wałbrzyski,podregion
13,T_0224,T_0224,2,24,PL517,PL,5,1,7,ząbkowicki,powiat,dolnośląskie,województwo,południowo-zachodni,makroregion,dolnośląskie,region,wałbrzyski,podregion
14,T_0265,T_0265,2,65,PL517,PL,5,1,7,Wałbrzych,powiat m.,dolnośląskie,województwo,południowo-zachodni,makroregion,dolnośląskie,region,wałbrzyski,podregion
15,T_0203,T_0203,2,3,PL516,PL,5,1,6,głogowski,powiat,dolnośląskie,województwo,południowo-zachodni,makroregion,dolnośląskie,region,legnicko-głogowski,podregion
16,T_0204,T_0204,2,4,PL516,PL,5,1,6,górowski,powiat,dolnośląskie,województwo,południowo-zachodni,makroregion,dolnośląskie,region,legnicko-głogowski,podregion
17,T_0209,T_0209,2,9,PL516,PL,5,1,6,legnicki,powiat,dolnośląskie,województwo,południowo-zachodni,makroregion,dolnośląskie,region,legnicko-głogowski,podregion
18,T_0211,T_0211,2,11,PL516,PL,5,1,6,lubiński,powiat,dolnośląskie,województwo,południowo-zachodni,makroregion,dolnośląskie,region,legnicko-głogowski,podregion
19,T_0216,T_0216,2,16,PL516,PL,5,1,6,polkowicki,powiat,dolnośląskie,województwo,południowo-zachodni,makroregion,dolnośląskie,region,legnicko-głogowski,podregion
20,T_0262,T_0262,2,62,PL516,PL,5,1,6,Legnica,powiat m.,dolnośląskie,województwo,południowo-zachodni,makroregion,dolnośląskie,region,legnicko-głogowski,podregion
21,T_0213,T_0213,2,13,PL518,PL,5,1,8,milicki,powiat,dolnośląskie,województwo,południowo-zachodni,makroregion,dolnośląskie,region,wrocławski,podregion
22,T_0214,T_0214,2,14,PL518,PL,5,1,8,oleśnicki,powiat,dolnośląskie,województwo,południowo-zachodni,makroregion,dolnośląskie,region,wrocławski,podregion
23,T_0215,T_0215,2,15,PL518,PL,5,1,8,oławski,powiat,dolnośląskie,województwo,południowo-zachodni,makroregion,dolnośląskie,region,wrocławski,podregion
24,T_0217,T_0217,2,17,PL518,PL,5,1,8,strzeliński,powiat,dolnośląskie,województwo,południowo-zachodni,makroregion,dolnośląskie,region,wrocławski,podregion
25,T_0218,T_0218,2,18,PL518,PL,5,1,8,średzki,powiat,dolnośląskie,województwo,południowo-zachodni,makroregion,dolnośląskie,region,wrocławski,podregion
26,T_0220,T_0220,2,20,PL518,PL,5,1,8,trzebnicki,powiat,dolnośląskie,województwo,południowo-zachodni,makroregion,dolnośląskie,region,wrocławski,podregion
27,T_0222,T_0222,2,22,PL518,PL,5,1,8,wołowski,powiat,dolnośląskie,województwo,południowo-zachodni,makroregion,dolnośląskie,region,wrocławski,podregion
28,T_0223,T_0223,2,23,PL518,PL,5,1,8,wrocławski,powiat,dolnośląskie,województwo,południowo-zachodni,makroregion,dolnośląskie,region,wrocławski,podregion
29,T_0264,T_0264,2,64,PL514,PL,5,1,4,Wrocław,powiat m.,dolnośląskie,województwo,południowo-zachodni,makroregion,dolnośląskie,region,miasto wrocław,podregion
30,T_0401,T_0401,4,1,PL619,PL,6,1,9,aleksandrowski,powiat,kujawsko-pomorskie,województwo,północny,makroregion,kujawsko-pomorskie,region,włocławski,podregion
31,T_0408,T_0408,4,8,PL619,PL,6,1,9,lipnowski,powiat,kujawsko-pomorskie,województwo,północny,makroregion,kujawsko-pomorskie,region,włocławski,podregion
32,T_0411,T_0411,4,11,PL619,PL,6,1,9,radziejowski,powiat,kujawsko-pomorskie,województwo,północny,makroregion,kujawsko-pomorskie,region,włocławski,podregion
33,T_0418,T_0418,4,18,PL619,PL,6,1,9,włocławski,powiat,kujawsko-pomorskie,województwo,północny,makroregion,kujawsko-pomorskie,region,włocławski,podregion
34,T_0464,T_0464,4,64,PL619,PL,6,1,9,Włocławek,powiat m.,kujawsko-pomorskie,województwo,północny,makroregion,kujawsko-pomorskie,region,włocławski,podregion
35,T_0402,T_0402,4,2,PL616,PL,6,1,6,brodnicki,powiat,kujawsko-pomorskie,województwo,północny,makroregion,kujawsko-pomorskie,region,grudziądzki,podregion
36,T_0404,T_0404,4,4,PL616,PL,6,1,6,chełmiński,powiat,kujawsko-pomorskie,województwo,północny,makroregion,kujawsko-pomorskie,region,grudziądzki,podregion
37,T_0405,T_0405,4,5,PL616,PL,6,1,6,golubsko-dobrzyński,powiat,kujawsko-pomorskie,województwo,północny,makroregion,kujawsko-pomorskie,region,grudziądzki,podregion
38,T_0406,T_0406,4,6,PL616,PL,6,1,6,grudziądzki,powiat,kujawsko-pomorskie,województwo,północny,makroregion,kujawsko-pomorskie,region,grudziądzki,podregion
39,T_0412,T_0412,4,12,PL616,PL,6,1,6,rypiński,powiat,kujawsko-pomorskie,województwo,północny,makroregion,kujawsko-pomorskie,region,grudziądzki,podregion
40,T_0417,T_0417,4,17,PL616,PL,6,1,6,wąbrzeski,powiat,kujawsko-pomorskie,województwo,północny,makroregion,kujawsko-pomorskie,region,grudziądzki,podregion
41,T_0462,T_0462,4,62,PL616,PL,6,1,6,Grudziądz,powiat m.,kujawsko-pomorskie,województwo,północny,makroregion,kujawsko-pomorskie,region,grudziądzki,podregion
42,T_0403,T_0403,4,3,PL613,PL,6,1,3,bydgoski,powiat,kujawsko-pomorskie,województwo,północny,makroregion,kujawsko-pomorskie,region,bydgosko-toruński,podregion
43,T_0415,T_0415,4,15,PL613,PL,6,1,3,toruński,powiat,kujawsko-pomorskie,województwo,północny,makroregion,kujawsko-pomorskie,region,bydgosko-toruński,podregion
44,T_0461,T_0461,4,61,PL613,PL,6,1,3,Bydgoszcz,powiat m.,kujawsko-pomorskie,województwo,północny,makroregion,kujawsko-pomorskie,region,bydgosko-toruński,podregion
45,T_0463,T_0463,4,63,PL613,PL,6,1,3,Toruń,powiat m.,kujawsko-pomorskie,województwo,północny,makroregion,kujawsko-pomorskie,region,bydgosko-toruński,podregion
46,T_0407,T_0407,4,7,PL617,PL,6,1,7,inowrocławski,powiat,kujawsko-pomorskie,województwo,północny,makroregion,kujawsko-pomorskie,region,inowrocławski,podregion
47,T_0409,T_0409,4,9,PL617,PL,6,1,7,mogileński,powiat,kujawsko-pomorskie,województwo,północny,makroregion,kujawsko-pomorskie,region,inowrocławski,podregion
48,T_0410,T_0410,4,10,PL617,PL,6,1,7,nakielski,powiat,kujawsko-pomorskie,województwo,północny,makroregion,kujawsko-pomorskie,region,inowrocławski,podregion
49,T_0419,T_0419,4,19,PL617,PL,6,1,7,żniński,powiat,kujawsko-pomorskie,województwo,północny,makroregion,kujawsko-pomorskie,region,inowrocławski,podregion
50,T_0413,T_0413,4,13,PL618,PL,6,1,8,sępoleński,powiat,kujawsko-pomorskie,województwo,północny,makroregion,kujawsko-pomorskie,region,świecki,podregion
51,T_0414,T_0414,4,14,PL618,PL,6,1,8,świecki,powiat,kujawsko-pomorskie,województwo,północny,makroregion,kujawsko-pomorskie,region,świecki,podregion
52,T_0416,T_0416,4,16,PL618,PL,6,1,8,tucholski,powiat,kujawsko-pomorskie,województwo,północny,makroregion,kujawsko-pomorskie,region,świecki,podregion
53,T_0601,T_0601,6,1,PL811,PL,8,1,1,bialski,powiat,lubelskie,województwo,wschodni,makroregion,lubelskie,region,bialski,podregion
54,T_0613,T_0613,6,13,PL811,PL,8,1,1,parczewski,powiat,lubelskie,województwo,wschodni,makroregion,lubelskie,region,bialski,podregion
55,T_0615,T_0615,6,15,PL811,PL,8,1,1,radzyński,powiat,lubelskie,województwo,wschodni,makroregion,lubelskie,region,bialski,podregion
56,T_0619,T_0619,6,19,PL811,PL,8,1,1,włodawski,powiat,lubelskie,województwo,wschodni,makroregion,lubelskie,region,bialski,podregion
57,T_0661,T_0661,6,61,PL811,PL,8,1,1,Biała Podlaska,powiat m.,lubelskie,województwo,wschodni,makroregion,lubelskie,region,bialski,podregion
58,T_0602,T_0602,6,2,PL812,PL,8,1,2,biłgorajski,powiat,lubelskie,województwo,wschodni,makroregion,lubelskie,region,chełmsko-zamojski,podregion
59,T_0603,T_0603,6,3,PL812,PL,8,1,2,chełmski,powiat,lubelskie,województwo,wschodni,makroregion,lubelskie,region,chełmsko-zamojski,podregion
60,T_0604,T_0604,6,4,PL812,PL,8,1,2,hrubieszowski,powiat,lubelskie,województwo,wschodni,makroregion,lubelskie,region,chełmsko-zamojski,podregion
61,T_0606,T_0606,6,6,PL812,PL,8,1,2,krasnostawski,powiat,lubelskie,województwo,wschodni,makroregion,lubelskie,region,chełmsko-zamojski,podregion
62,T_0618,T_0618,6,18,PL812,PL,8,1,2,tomaszowski,powiat,lubelskie,województwo,wschodni,makroregion,lubelskie,region,chełmsko-zamojski,podregion
