year,harmonised_code,harmonised_name,marriages_civil,marriages_religious
1996,I_01,Alava,405.0,925.0
1996,I_02,Albacete,224.0,1482.0
1996,I_03,Alicante,1511.0,5308.0
1996,I_04,Almeria,449.0,2134.0
1996,I_05,Avila,86.0,513.0
1996,I_06,Badajoz,357.0,2609.0
1996,I_07,Illes Balears,1245.0,2898.0
1996,I_08,Barcelona,7655.0,16679.0
1996,I_09,Burgos,208.0,1235.0
1996,I_10,Caceres,244.0,1551.0
1996,I_11,Cadiz,1000.0,4587.0
1996,I_12,Castellon,511.0,2003.0
1996,I_13,Ciudad Real,217.0,2077.0
1996,I_14,Cordoba,425.0,3442.0
1996,I_15,A Coruna,1011.0,3840.0
1996,I_16,Cuenca,86.0,766.0
1996,I_17,Girona,707.0,1807.0
1996,I_18,Granada,717.0,3360.0
1996,I_19,Guadalajara,154.0,650.0
1996,I_20,Gipuzkoa,877.0,2270.0
1996,I_21,Huelva,369.0,1794.0
1996,I_22,Huesca,138.0,691.0
1996,I_23,Jaen,294.0,2787.0
1996,I_24,Leon,405.0,1505.0
1996,I_25,Lleida,383.0,1281.0
1996,I_26,La Rioja,257.0,1013.0
1996,I_27,Lugo,218.0,1123.0
1996,I_28,Madrid,6936.0,18837.0
1996,I_29,Malaga,1409.0,4425.0
1996,I_30,Murcia,936.0,4978.0
1996,I_31,Navarra,582.0,2132.0
1996,I_32,Ourense,273.0,1028.0
1996,I_33,Asturias,1197.0,3204.0
1996,I_34,Palencia,142.0,561.0
1996,I_35,Las Palmas,1324.0,2728.0
1996,I_36,Pontevedra,837.0,3221.0
1996,I_37,Salamanca,221.0,1185.0
1996,I_38,Canarias,1061.0,2557.0
1996,I_39,Cantabria,559.0,1810.0
1996,I_40,Segovia,110.0,531.0
1996,I_41,Sevilla,1522.0,7383.0
1996,I_42,Soria,62.0,281.0
1996,I_43,Tarragona,778.0,2115.0
1996,I_44,Teruel,81.0,435.0
1996,I_45,Toledo,256.0,2182.0
1996,I_46,Valencia,2691.0,8709.0
1996,I_47,Valladolid,379.0,1766.0
1996,I_48,Bizkaia,1411.0,3498.0
1996,I_49,Zamora,107.0,621.0
1996,I_50,Zaragoza,868.0,3195.0
1996,I_51,Ceuta,190.0,161.0
1996,I_52,Melilla,270.0,134.0
1997,I_01,Alava,428.0,955.0
1997,I_02,Albacete,270.0,1514.0
1997,I_03,Alicante,1595.0,5652.0
1997,I_04,Almeria,388.0,2197.0
1997,I_05,Avila,80.0,531.0
1997,I_06,Badajoz,421.0,2707.0
1997,I_07,Illes Balears,1314.0,2802.0
1997,I_08,Barcelona,8009.0,16185.0
1997,I_09,Burgos,240.0,1187.0
1997,I_10,Caceres,310.0,1517.0
1997,I_11,Cadiz,1082.0,4514.0
1997,I_12,Castellon,449.0,1910.0
1997,I_13,Ciudad Real,237.0,1952.0
1997,I_14,Cordoba,460.0,3376.0
1997,I_15,A Coruna,1109.0,3779.0
1997,I_16,Cuenca,87.0,689.0
1997,I_17,Girona,742.0,1730.0
1997,I_18,Granada,710.0,3433.0
1997,I_19,Guadalajara,153.0,694.0
1997,I_20,Gipuzkoa,937.0,2166.0
1997,I_21,Huelva,350.0,1872.0
1997,I_22,Huesca,148.0,655.0
1997,I_23,Jaen,338.0,2889.0
1997,I_24,Leon,450.0,1522.0
1997,I_25,Lleida,378.0,1249.0
1997,I_26,La Rioja,287.0,1035.0
1997,I_27,Lugo,251.0,1071.0
1997,I_28,Madrid,6740.0,19708.0
1997,I_29,Malaga,1463.0,4577.0
1997,I_30,Murcia,1043.0,5160.0
1997,I_31,Navarra,587.0,1967.0
1997,I_32,Ourense,251.0,973.0
1997,I_33,Asturias,1231.0,3317.0
1997,I_34,Palencia,135.0,561.0
1997,I_35,Las Palmas,1278.0,2703.0
1997,I_36,Pontevedra,850.0,3279.0
1997,I_37,Salamanca,227.0,1227.0
1997,I_38,Canarias,1152.0,2448.0
1997,I_39,Cantabria,583.0,1770.0
1997,I_40,Segovia,94.0,541.0
1997,I_41,Sevilla,1533.0,7663.0
1997,I_42,Soria,72.0,275.0
1997,I_43,Tarragona,805.0,2139.0
1997,I_44,Teruel,73.0,396.0
1997,I_45,Toledo,292.0,2207.0
1997,I_46,Valencia,2669.0,8878.0
1997,I_47,Valladolid,405.0,1625.0
1997,I_48,Bizkaia,1404.0,3629.0
1997,I_49,Zamora,111.0,625.0
1997,I_50,Zaragoza,812.0,3411.0
1997,I_51,Ceuta,170.0,173.0
1997,I_52,Melilla,297.0,130.0
1998,I_01,Alava,491.0,922.0
1998,I_02,Albacete,298.0,1504.0
1998,I_03,Alicante,1731.0,5762.0
1998,I_04,Almeria,481.0,2202.0
1998,I_05,Avila,77.0,556.0
1998,I_06,Badajoz,392.0,2802.0
1998,I_07,Illes Balears,1441.0,2961.0
1998,I_08,Barcelona,8341.0,17402.0
1998,I_09,Burgos,269.0,1228.0
1998,I_10,Caceres,297.0,1521.0
