,election_date,election_type,harmonised_code,harmonised_name,type,name,votes
0,1993_06_06,congresso,I_01,Alava,0,eligible_voters,222152.0
1,1993_06_06,congresso,I_01,Alava,1,issued_ballots,157879.0
2,1993_06_06,congresso,I_01,Alava,2,psoe,40860.0
3,1993_06_06,congresso,I_01,Alava,2,pp,30652.0
4,1993_06_06,congresso,I_01,Alava,2,iu,10748.0
5,1993_06_06,congresso,I_01,Alava,2,ciu,0.0
6,1993_06_06,congresso,I_01,Alava,2,cds,1818.0
7,1993_06_06,congresso,I_01,Alava,2,eajpnv,26321.0
8,1993_06_06,congresso,I_01,Alava,2,cc,0.0
9,1993_06_06,congresso,I_01,Alava,2,hb,14702.0
10,1993_06_06,congresso,I_01,Alava,2,erc,0.0
11,1993_06_06,congresso,I_01,Alava,2,verdes,1775.0
12,1993_06_06,congresso,I_01,Alava,2,par,0.0
13,1993_06_06,congresso,I_01,Alava,2,eaeue,9036.0
14,1993_06_06,congresso,I_01,Alava,2,bng,0.0
15,1993_06_06,congresso,I_01,Alava,2,uv,0.0
16,1993_06_06,congresso,I_01,Alava,2,pa,0.0
17,1993_06_06,congresso,I_01,Alava,2,le,1084.0
18,1993_06_06,congresso,I_01,Alava,2,armade,392.0
19,1993_06_06,congresso,I_01,Alava,2,pap,0.0
20,1993_06_06,congresso,I_01,Alava,2,upv,0.0
21,1993_06_06,congresso,I_01,Alava,2,pst,0.0
22,1993_06_06,congresso,I_01,Alava,2,upca,0.0
23,1993_06_06,congresso,I_01,Alava,2,psmene,0.0
24,1993_06_06,congresso,I_01,Alava,2,prc,0.0
25,1993_06_06,congresso,I_01,Alava,2,ua,16623.0
26,1993_06_06,congresso,I_01,Alava,2,gil,0.0
27,1993_06_06,congresso,I_01,Alava,2,pgc,0.0
28,1993_06_06,congresso,I_01,Alava,2,upl,0.0
29,1993_06_06,congresso,I_01,Alava,2,pln,204.0
30,1993_06_06,congresso,I_01,Alava,2,pas,0.0
